id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,Windmill Hill,BS3 4,51.43994174,-2.591726275,Townhouse,Private room,2,1,1,1,27,4,130,28-09-2018,2.1,96,10,9,10,10,10,10,5,44
117122,City Centre - Waterside Retreat,591555,Marcus,Clifton,BS8 4UJ,51.45051189,-2.610536393,Apartment,Private room,4,2,1,2,65,1,126,28-10-2018,1.4,99,10,10,10,10,10,10,1,360
146407,Sunny Central Artist Cottage (Dbl),708175,Orla,Southville,BS3,51.44130766,-2.602705562,Townhouse,Private room,3,1,1,2,38,2,57,12-09-2018,0.76,91,9,8,9,10,9,9,2,46
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,Bedminster,,51.44100635,-2.601207904,Townhouse,Private room,2,1,1,1,35,2,30,31-10-2018,0.41,95,9,9,10,10,9,9,2,57
220956,"Light, Modern, 1st Floor Apartment.",1145941,Stephen,Bedminster,England,51.43851692,-2.601421093,Apartment,Entire home/apt,2,1,1,1,59,1,74,04-11-2018,0.85,94,10,9,10,10,9,9,1,253
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,Easton,BS5 6EH,51.46640885,-2.555332401,Townhouse,Private room,2,1,1,1,35,2,14,29-07-2018,0.79,93,10,10,10,10,10,9,2,146
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,Ashley,BS6 5LE,51.4666839,-2.582741024,House,Private room,3,1,1,2,65,2,80,27-10-2016,1.22,94,9,9,10,10,9,9,2,88
341227,Magical Listed Georgian townhouse,237360,Samantha,Ashley,Bristol,51.46661454,-2.58709017,House,Entire home/apt,14,3,5,10,450,2,39,29-07-2018,0.49,98,10,9,10,10,9,9,4,363
389942,Sunny retreat with ensuite,1950884,Sonia,Redland,bs7 8py,51.4792598,-2.591081001,House,Private room,2,1,1,1,50,1,57,12-08-2018,0.7,96,10,10,10,10,9,9,5,8
389944,Spacious Cosy Room,1950884,Sonia,Redland,bs7 8py,51.47970583,-2.591489967,House,Private room,1,,1,1,32,1,100,30-08-2018,1.25,93,10,10,10,10,9,9,5,8
390781,Cosy large room near TV studios & Paintworks,1954565,Fi,Brislington West,BS4 3QA,51.44429368,-2.557774186,House,Private room,1,1,1,1,27,1,26,13-10-2018,0.32,99,10,10,10,10,10,10,2,69
391612,Central Cosy Double Room House1,1958566,Carmen,Ashley,BS2 9QJ,51.46486536,-2.579892483,House,Private room,1,1,1,1,32,2,16,13-08-2015,0.2,91,9,9,10,10,9,9,2,261
391613,Single Central Bristol Room House 1,1958566,Carmen,Ashley,BS2 9QJ,51.4649916,-2.578262852,House,Private room,1,1,1,1,25,2,49,06-12-2015,0.61,86,8,9,9,9,7,9,2,320
392215,"home from home, large double, light",1961385,Bea,Brislington East,BS4 4QZ,51.44111451,-2.536828547,Townhouse,Private room,1,1,1,1,17,10,23,31-01-2018,0.28,100,10,10,10,10,10,10,2,0
392217,"home from home, lovely single room",1961385,Bea,Brislington East,BS4 4QZ,51.44293134,-2.537776324,House,Private room,1,1,1,1,16,10,13,31-10-2018,0.21,95,10,10,10,10,9,10,2,73
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,Ashley,Bs65Hu,51.46919764,-2.581899304,Apartment,Entire home/apt,5,1,1,3,98,2,215,06-11-2018,2.7,98,10,10,10,10,9,9,1,357
421205,The dog lovers haven,2094659,Lis,Ashley,BS6,51.46464843,-2.583665058,Apartment,Private room,2,1,1,1,28,1,98,11-11-2018,1.27,98,10,10,10,10,10,10,1,293
422956,Modern inner city 3 bed eco house,2103297,Lois,Redland,BS6 7HF,51.47331297,-2.605979192,House,Entire home/apt,5,2,3,4,150,2,267,04-11-2018,3.35,98,10,9,10,10,10,10,2,316
554813,1 Double Room in Bristol Centre with own Bathroom,2727252,Rich & Ray,Lawrence Hill,BS2 0PN,51.45618209,-2.577377652,Apartment,Private room,2,1,1,1,45,1,145,07-10-2018,1.87,98,10,10,10,10,10,10,1,81
559177,Modern city centre loft style,2736590,Jamie,Central,BS1 6LS,51.45035996,-2.589379225,Apartment,Entire home/apt,2,1,1,1,90,6,13,03-10-2018,0.17,94,10,9,10,10,10,9,1,302
664979,"Exclusive use of caravan, & parking",1949283,Catherine,Eastville,BS16,51.47133976,-2.534867569,Guesthouse,Entire home/apt,2,1,1,3,24,2,104,30-03-2018,1.52,88,9,9,9,9,8,9,1,135
676106,Unique Dbl Loft space nr station,683638,Helen,Windmill Hill,BS4 3BU,51.44191709,-2.570734794,Apartment,Private room,2,1,1,1,30,1,455,21-10-2018,6.13,92,9,9,10,10,9,9,2,359
688324,"The Green Room, Comfy Double in St Werburghs",3514043,Natasha,Ashley,BS2 9UE,51.4697438,-2.575650535,Townhouse,Private room,2,1,1,1,28,2,247,11-11-2018,3.29,94,10,10,10,10,9,9,2,3
753655,Edwardian house in central Bristol,3647954,Cath,Southville,BS3 1PR,51.44553424,-2.604125779,House,Private room,2,1,1,1,50,1,226,16-11-2018,3.16,94,10,10,10,10,9,9,2,326
758894,"Luxury Clifton Village, internet, parking permits",3996407,Joanna,Clifton,BS8 4BH,51.45443394,-2.620657059,Apartment,Entire home/apt,4,1,1,1,95,2,296,05-11-2018,4.05,97,10,10,10,10,10,9,1,297
774471,Lovely Single B/Rm-Central Location,4086056,Lilian,Hotwells & Harbourside,BS8 1EA,51.45207498,-2.607237802,Townhouse,Private room,2,1,1,2,35,1,336,15-11-2018,4.77,95,10,10,10,10,10,9,2,147
787688,"Entire quirky flat, amazing views",683638,Helen,Windmill Hill,BS4 3BU,51.44061967,-2.572296533,Apartment,Entire home/apt,4,1,2,3,68,3,3,13-04-2015,0.05,80,9,5,7,9,9,8,2,0
828102,Charming Room in Victorian Terrace,4341765,Patricia,St George West,BS5 8HY,51.4596906,-2.541038032,Bed and breakfast,Private room,2,1.5,1,1,26,2,72,19-09-2018,1.14,95,10,10,10,10,9,10,4,298
832235,Luxury Double En Suite Bedroom,4356624,Claire,Southville,BS3 2BJ,51.44201122,-2.61938803,Apartment,Private room,2,1,1,1,55,1,88,11-11-2018,2.04,98,10,10,10,10,10,10,1,331
838106,Big double room ensuite bathroom,4379169,Sarah,Redland,BS6 7AW,51.47079467,-2.59644659,House,Private room,2,1,1,1,55,2,191,07-11-2018,2.72,98,10,10,10,10,10,9,2,340
853819,peaceful short term home,4474160,Sarah,Ashley,,51.46962641,-2.580884956,House,Private room,2,,1,,62,21,0,,,,,,,,,,1,365
868888,Large double room with breakfast,4577089,Rohan,Eastville,,51.47277964,-2.547133623,Bed and breakfast,Private room,2,1,1,1,21,20,4,31-10-2018,0.51,93,10,9,10,10,9,10,2,333
870076,Cosy Single Bedroom in Southville,3647954,Cath,Southville,BS3 1PR,51.44593291,-2.603092352,House,Private room,1,,1,1,39,1,131,07-11-2018,1.88,92,10,9,10,10,9,9,2,328
897555,Cosy nicely lit room in Bedminster,3271882,Gwen,Southville,BS3 4NE,51.44160501,-2.598635484,House,Private room,1,1,1,1,27,2,124,09-11-2018,1.75,91,9,9,9,9,9,9,2,357
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,Redland,BS6 7HF,51.47513055,-2.604740279,Barn,Entire home/apt,5,2,2,4,120,2,171,04-11-2018,2.62,96,10,9,10,10,10,10,2,281
975170,Double room in quiet LGBTQ friendly home,5332833,Ashley,Eastville,BS16 1AX,51.48256227,-2.554599022,House,Private room,2,2.5,1,1,28,2,89,30-09-2018,1.3,98,10,10,10,10,9,10,2,76
979236,large ensuite with seating area,1156132,Sue And Toby,Ashley,BS6 5LE,51.46665137,-2.582843581,House,Private room,2,1,1,1,55,1,156,12-11-2018,2.69,94,10,9,10,10,9,9,2,82
